ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
1970,599500.0,1724,0.0,4,1.0,111,74
1907,350000.0,1033,,3,1.0,113,16
2116,382000.0,2466,,4,3.5,5,21
1867,369000.0,1856,,3,2.5,15,59
1566,194900.0,1170,,2,2.0,43,14
1747,207000.0,1690,,3,2.5,138,57
2021,482500.0,1058,,2,2.0,13,35
2130,320000.0,902,,2,1.0,48,46
2130,540000.0,1190,,2,1.5,31,19
1604,108750.0,978,,2,2.0,116,62
1830,115000.0,1315,,3,1.0,109,60
2169,325000.0,1489,,3,2.5,16,48
3054,177500.0,524,,1,1.0,51,19
2129,469000.0,1308,,2,2.0,31,51
1960,128000.0,1565,,2,2.0,13,67
2190,163000.0,350,350.0,1,1.0,119,41
2127,749000.0,1515,,2,2.0,98,12
2066,600000.0,784,,2,1.0,48,31
1832,196000.0,2038,0.0,3,3.5,28,13
2127,490000.0,1315,,2,1.5,34,76
2144,649000.0,945,,2,2.0,46,49
2631,199000.0,1200,4110.0,2,1.0,112,9
2453,425000.0,1200,4110.0,2,1.0,112,19
2118,910000.0,1200,4110.0,2,1.0,112,13
1453,217500.0,1223,,2,1.5,31,19
1757,258000.0,931,,1,1.0,108,19
1452,285383.0,1720,,3,2.5,35,69
2139,1025000.0,1316,,2,1.5,34,78
2215,528000.0,2329,,3,2.5,7,40
2139,600000.0,2507,,2,2.5,10,35
2478,575000.0,1143,,3,2.0,22,5
1810,900000.0,1581,0.0,2,1.5,12,40
1450,466861.0,600,,1,1.0,35,55
1760,220000.0,2046,,2,2.5,22,19
1801,408000.0,534,534.0,1,1.0,119,33
1545,112500.0,782,,1,1.0,48,11
2360,139900.0,1288,,2,2.0,14,29
1778,890159.92,2229,,2,2.5,5,6
1906,370000.0,1035,,2,2.0,33,19
2370,194000.0,1644,,4,2.5,14,215
1520,206000.0,1207,,1,1.5,138,17
2127,920000.0,808,,2,1.0,53,68
1760,535000.0,1778,100000.0,1,1.0,14,25
2420,371000.0,1467,0.0,2,2.5,128,2
2720,73000.0,1016,,2,2.0,31,55
1923,172500.0,1228,1447.0,4,1.0,113,35
2131,398000.0,886,,2,1.5,119,20
2169,244000.0,916,916.0,2,1.0,100,17
1960,290000.0,916,916.0,2,1.0,100,25
2038,245000.0,722,,2,1.0,48,322
3064,245000.0,1240,100.0,2,1.5,33,15
1970,300000.0,1240,,2,1.5,33,5
2152,295000.0,1570,,2,1.5,20,9
2740,157000.0,811,,1,1.0,20,35
2139,1150000.0,750,,1,1.0,54,19
